transaction_id,customer_name,customer_email,product_name,category,quantity,unit_price,total_amount,discount_pct,order_date,region,sales_rep,status,phone_number,rating,customer_email_valid_flag,quantity_negative_flag,unit_price_negative_flag,total_amount_negative_flag,order_date_valid_flag,quantity_valid_flag,discount_pct_valid_flag,rating_valid_flag,total_amount_source
TXN0001,,,Headphones,ELECTRONICS,4.0,4340.9,15800.876,9.0,2024-05-25,SOUTH,Charlie,COMPLETED,7619ee8cea49187f309616e30ecf54be072259b43760f1f550a644945d5572f2,2.0,0,0,0,0,1,1,1,1,11226.34
TXN0002,,5c6551e24bfb8c3a542db4e4d1bf4906288b558766e29233cf18ea022499060d,Tablet,ELECTRONICS,0.001,4741.45,4.457,6.0,2024-11-01,EAST, Bob,COMPLETED,72399361da6a7754fec986dca5b7cbaf1c810a28ded4abaf56b2106d06cb78b0,5.0,1,0,0,0,1,0,1,1,28427.59
TXN0003,371ce02ae5647e65e3cf624b1ef05aa2717a20b51a3b0654d198355605d23d98,,laptop,FOOD,9.0,2541.21,13493.8251,41.0,2024-05-03,WEST,Bob ,COMPLETED,91e491a263a911269500672b93c67ef9eb942716ca2e2dd761c1dc9ed0df5f01,4.0,0,0,0,0,1,1,1,1,20824.16
TXN0004,9c0d461abd619820a0e25ddd0e399278953cad3cc8e0d7951483cc7266c556a6,ab6c7131eea2f69c58dab4317ba113417172c86d1e959350812f1ca0b4f268a6,,ELECTRONICS,7.0,4991.4,18867.492,46.0,2024-11-29,SOUTH, Bob,COMPLETED,,5.0,1,0,0,1,1,1,1,1,999.0
TXN0005,371ce02ae5647e65e3cf624b1ef05aa2717a20b51a3b0654d198355605d23d98,,Phone,ELECTRONICS,5.0,1822.18,6559.848,28.0,2024-02-24,SOUTH,alice,PENDING,72399361da6a7754fec986dca5b7cbaf1c810a28ded4abaf56b2106d06cb78b0,2.0,1,1,0,0,1,1,1,1,39273.84
TXN0006,6cea57c2fb6cbc2a40411135005760f241fffc3e5e67ab99882726431037f908,,laptop,CLOTHING,5.0,2541.21,11562.5055,9.0,2024-03-14,WEST,Alice,COMPLETED,7619ee8cea49187f309616e30ecf54be072259b43760f1f550a644945d5572f2,2.0,0,0,0,0,1,1,1,1,20082.46
TXN0007,7f319e7a2a24c195dde8670307d28e8fa3dbc756cf225098aff4becaf74ee5ea,,,FOOD,9.0,4903.62,42808.6026,3.0,2024-07-17,NORTH,Charlie,REFUNDED,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,1.0,1,0,0,0,1,1,1,1,22375.54
TXN0008,371ce02ae5647e65e3cf624b1ef05aa2717a20b51a3b0654d198355605d23d98,,Phone,FOOD,7.0,389.07,0.0,100.0,2024-02-21,SOUTH,CHARLIE,COMPLETED,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,1.0,1,0,0,0,1,1,0,1,13306.68
TXN0009,,,,CLOTHING,6.0,227.24,1022.58,25.0,,WEST,alice,COMPLETED,,4.0,1,0,0,0,0,1,1,1,42721.93
TXN0010,7f319e7a2a24c195dde8670307d28e8fa3dbc756cf225098aff4becaf74ee5ea,,Tablet,ELECTRONICS,12.0,522.85,3890.004,38.0,2024-07-07,WEST,alice,COMPLETED,,0.0,1,0,0,0,1,1,1,1,20300.85
TXN0011,9c0d461abd619820a0e25ddd0e399278953cad3cc8e0d7951483cc7266c556a6,ab6c7131eea2f69c58dab4317ba113417172c86d1e959350812f1ca0b4f268a6,,CLOTHING,5.0,1734.86,4510.636,48.0,2024-06-11,NORTH, Bob,CANCELLED,7619ee8cea49187f309616e30ecf54be072259b43760f1f550a644945d5572f2,4.0,1,0,0,0,1,1,1,1,48370.51
TXN0012,6cea57c2fb6cbc2a40411135005760f241fffc3e5e67ab99882726431037f908,,,CLOTHING,9.0,4611.51,30712.6566,26.0,2024-04-01,SOUTH,CHARLIE,COMPLETED,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,2.0,0,0,0,0,1,1,1,1,11721.99
TXN0013,6cea57c2fb6cbc2a40411135005760f241fffc3e5e67ab99882726431037f908,,laptop,ELECTRONICS,17.0,0.0,0.0,45.0,2024-12-26,NORTH,CHARLIE,COMPLETED,72399361da6a7754fec986dca5b7cbaf1c810a28ded4abaf56b2106d06cb78b0,3.0,0,0,0,0,1,1,1,1,46099.45
TXN0014,08934492160d7e639ae306df0b848029b432adc882d548cb835b51151ca1291f,,Phone,ELECTRONICS,2.0,4676.85,6921.738,26.0,2024-05-04,SOUTH,Bob ,COMPLETED,,4.0,1,0,0,1,1,1,1,1,999.0
TXN0015,6cea57c2fb6cbc2a40411135005760f241fffc3e5e67ab99882726431037f908,,T-Shirt,ELECTRONICS,5.0,143.18,357.95,50.0,2024-01-12,EAST,Bob ,COMPLETED,72399361da6a7754fec986dca5b7cbaf1c810a28ded4abaf56b2106d06cb78b0,2.0,1,1,0,0,1,1,1,1,15380.29
TXN0016,9c0d461abd619820a0e25ddd0e399278953cad3cc8e0d7951483cc7266c556a6,,T-Shirt,ELECTRONICS,10.0,0.0,0.0,5.0,2024-10-20,NORTH,alice,COMPLETED,7619ee8cea49187f309616e30ecf54be072259b43760f1f550a644945d5572f2,1.0,1,0,0,0,1,1,1,1,26727.1
TXN0017,7f319e7a2a24c195dde8670307d28e8fa3dbc756cf225098aff4becaf74ee5ea,,Phone,FOOD,16.0,2581.71,27262.8576,34.0,2024-03-25,WEST,Alice,COMPLETED,7619ee8cea49187f309616e30ecf54be072259b43760f1f550a644945d5572f2,4.0,1,0,0,0,1,1,1,1,22375.54
TXN0018,371ce02ae5647e65e3cf624b1ef05aa2717a20b51a3b0654d198355605d23d98,,Laptop,ELECTRONICS,5.0,2270.65,11353.25,0.0,2024-01-08,NORTH,Bob,PENDING,72399361da6a7754fec986dca5b7cbaf1c810a28ded4abaf56b2106d06cb78b0,2.0,0,0,0,0,1,1,0,1,17531.98
TXN0020,371ce02ae5647e65e3cf624b1ef05aa2717a20b51a3b0654d198355605d23d98,,Phone,FOOD,7.0,3021.38,15862.245,25.0,2024-02-29,WEST,Alice,COMPLETED,,0.0,1,0,0,0,1,1,1,0,29946.49
TXN0021,371ce02ae5647e65e3cf624b1ef05aa2717a20b51a3b0654d198355605d23d98,,laptop,ELECTRONICS,8.0,4410.87,28582.4376,19.0,2024-12-09,EAST, Bob,REFUNDED,7619ee8cea49187f309616e30ecf54be072259b43760f1f550a644945d5572f2,4.0,0,0,0,0,1,1,1,1,14032.89
TXN0022,371ce02ae5647e65e3cf624b1ef05aa2717a20b51a3b0654d198355605d23d98,5c6551e24bfb8c3a542db4e4d1bf4906288b558766e29233cf18ea022499060d,laptop,CLOTHING,0.001,2835.12,2.0129,29.0,2024-12-06,WEST,Alice,COMPLETED,7619ee8cea49187f309616e30ecf54be072259b43760f1f550a644945d5572f2,5.0,1,0,0,0,1,0,1,1,31361.84
TXN0023,08934492160d7e639ae306df0b848029b432adc882d548cb835b51151ca1291f,,Phone,FOOD,10.0,2541.21,13976.655,45.0,2024-02-22,SOUTH,Bob,CANCELLED,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,5.0,1,0,0,0,1,1,1,1,18373.33
TXN0024,7f319e7a2a24c195dde8670307d28e8fa3dbc756cf225098aff4becaf74ee5ea,,Laptop,FOOD,7.0,4369.99,25695.5412,16.0,2024-06-09,WEST,CHARLIE,COMPLETED,91e491a263a911269500672b93c67ef9eb942716ca2e2dd761c1dc9ed0df5f01,5.0,0,0,0,0,1,1,1,1,22375.54
TXN0025,6cea57c2fb6cbc2a40411135005760f241fffc3e5e67ab99882726431037f908,,Tablet,ELECTRONICS,9.0,4160.51,33700.131,10.0,2024-03-05,EAST,Charlie,COMPLETED,,4.0,0,0,0,0,1,1,1,1,45734.29
TXN0026,2c1ac45af7793feef16c32c014f47479060ccb5c209512db5a7f123145516293,ab6c7131eea2f69c58dab4317ba113417172c86d1e959350812f1ca0b4f268a6,T-Shirt,ELECTRONICS,19.0,0.0,0.0,50.0,2024-06-18,EAST,CHARLIE,COMPLETED,,1.0,1,0,0,0,1,1,1,1,1649.04
TXN0027,08934492160d7e639ae306df0b848029b432adc882d548cb835b51151ca1291f,ab6c7131eea2f69c58dab4317ba113417172c86d1e959350812f1ca0b4f268a6,Headphones,FOOD,15.0,3048.51,33381.1845,27.0,2024-12-12,SOUTH, Bob,PENDING,,5.0,1,0,0,0,1,1,1,1,22375.54
TXN0028,08934492160d7e639ae306df0b848029b432adc882d548cb835b51151ca1291f,,,CLOTHING,15.0,1144.24,12701.064,26.0,2024-09-12,NORTH,CHARLIE,COMPLETED,,4.0,1,0,0,0,1,1,1,1,19212.49
TXN0029,371ce02ae5647e65e3cf624b1ef05aa2717a20b51a3b0654d198355605d23d98,5c6551e24bfb8c3a542db4e4d1bf4906288b558766e29233cf18ea022499060d,Shoes,ELECTRONICS,5.0,2646.35,12437.845,6.0,,NORTH,CHARLIE,REFUNDED,91e491a263a911269500672b93c67ef9eb942716ca2e2dd761c1dc9ed0df5f01,2.0,1,0,0,0,0,1,1,1,30975.7
TXN0030,2c1ac45af7793feef16c32c014f47479060ccb5c209512db5a7f123145516293,,,CLOTHING,2.0,3819.5,4354.23,43.0,2024-11-22,NORTH,alice,CANCELLED,72399361da6a7754fec986dca5b7cbaf1c810a28ded4abaf56b2106d06cb78b0,5.0,1,0,0,0,1,1,1,0,20994.46
TXN0031,,,Headphones,ELECTRONICS,13.0,1813.65,19805.058,16.0,2024-05-08,NORTH,Bob ,PENDING,7619ee8cea49187f309616e30ecf54be072259b43760f1f550a644945d5572f2,4.0,1,0,0,0,1,1,1,1,20648.15
TXN0032,371ce02ae5647e65e3cf624b1ef05aa2717a20b51a3b0654d198355605d23d98,ab6c7131eea2f69c58dab4317ba113417172c86d1e959350812f1ca0b4f268a6,,ELECTRONICS,9.0,2678.98,17842.0068,26.0,2024-12-29,WEST,alice,COMPLETED,72399361da6a7754fec986dca5b7cbaf1c810a28ded4abaf56b2106d06cb78b0,1.0,1,0,0,0,1,1,1,1,26141.45
TXN0033,,,Shoes,FOOD,14.0,2541.21,28461.552,20.0,2024-07-16,EAST,CHARLIE,PENDING,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,5.0,0,0,0,0,1,1,1,1,6978.76
